Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-08-06,385.06,390.8,384.29,390.62,193844444
1991-08-07,390.62,391.59,389.86,390.56,191355556
1991-08-08,390.56,391.8,388.15,389.32,182100006
1991-08-09,389.32,389.89,387.04,387.12,159711111
1991-08-12,387.11,388.17,385.9,388.02,161600000
1991-08-13,388.02,392.12,388.02,389.62,236400000
1991-08-14,389.62,391.85,389.13,389.9,138033327
1991-08-15,389.91,391.92,389.29,389.33,194100006
1991-08-16,389.33,390.41,383.16,385.58,210533333
1991-08-19,385.58,385.58,374.09,376.47,255944439
1991-08-20,376.47,380.35,376.47,379.43,204733345
1991-08-21,379.55,390.59,379.55,390.59,258544450
1991-08-22,390.59,391.98,390.21,391.33,192322228
1991-08-23,391.33,395.34,390.69,394.17,209855550
1991-08-26,394.17,394.39,392.75,393.85,145077784
1991-08-27,393.85,393.87,391.77,393.06,160744439
1991-08-28,393.06,396.64,393.05,396.64,188766673
1991-08-29,396.65,396.82,395.14,396.47,171277772
1991-08-30,396.47,396.47,393.6,395.43,159377778
1991-09-03,395.43,397.62,392.1,392.15,170666667
1991-09-04,392.15,392.62,388.68,389.97,175022222
1991-09-05,389.97,390.97,388.49,389.14,180422222
1991-09-06,389.14,390.71,387.36,389.1,185066667
1991-09-09,389.11,389.34,387.88,388.57,127888889
1991-09-10,388.57,388.63,383.78,384.56,159322216
1991-09-11,384.56,385.6,383.59,385.09,164444444
1991-09-12,385.09,387.34,385.09,387.34,178244444
1991-09-13,387.16,387.95,382.85,383.59,188477772
1991-09-16,383.59,385.79,382.77,385.78,191733333
1991-09-17,385.78,387.13,384.97,385.5,187044444
1991-09-18,385.49,386.94,384.28,386.94,157044444
1991-09-19,386.94,389.42,386.27,387.56,234455561
1991-09-20,387.56,388.82,386.49,387.92,282800000
1991-09-23,387.9,388.55,385.76,385.92,162155556
1991-09-24,385.92,388.13,384.46,387.71,189277772
1991-09-25,387.72,388.25,385.99,386.88,171011105
1991-09-26,386.87,388.39,385.3,386.49,176644444
1991-09-27,386.49,389.09,384.87,385.9,178511111
1991-09-30,385.91,388.29,384.32,387.86,163088889
1991-10-01,387.86,389.56,387.86,389.2,181744450
1991-10-02,389.2,390.03,387.62,388.26,184866667
1991-10-03,388.23,388.23,384.47,384.47,193733333
1991-10-04,384.47,385.19,381.24,381.25,182222222
1991-10-07,381.22,381.27,379.07,379.5,164922216
1991-10-08,379.5,381.23,379.18,380.67,196800000
1991-10-09,380.57,380.57,376.35,376.8,207455550
1991-10-10,376.8,380.55,376.11,380.55,182488889
1991-10-11,380.55,381.46,379.9,381.45,165388895
1991-10-14,381.45,386.47,381.45,386.47,144577778
1991-10-15,386.47,391.5,385.95,391.01,237266679
1991-10-16,391.01,393.29,390.14,392.8,250422234
1991-10-17,392.79,393.81,390.32,391.92,228922216
1991-10-18,391.92,392.8,391.77,392.5,226766673
1991-10-21,392.49,392.49,388.96,390.02,171266667
1991-10-22,390.02,391.2,387.4,387.83,215733333
1991-10-23,387.83,389.08,386.52,387.94,205988883
1991-10-24,387.94,388.32,383.45,385.07,198933333
1991-10-25,385.07,386.13,382.97,384.2,185899994
1991-10-28,384.2,389.52,384.2,389.52,179588883
1991-10-29,389.52,391.7,386.88,391.48,214233339
1991-10-30,391.48,393.11,390.78,392.96,217111111
1991-10-31,392.96,392.96,391.58,392.45,199644444
1991-11-01,392.46,395.1,389.67,391.32,228644456
1991-11-04,391.29,391.29,388.09,390.28,172955556
1991-11-05,390.28,392.17,388.19,388.71,191211117
1991-11-06,388.71,389.97,387.58,389.97,186044444
1991-11-07,389.97,393.72,389.97,393.72,228311111
1991-11-08,393.72,396.43,392.42,392.89,203622210
1991-11-11,392.9,393.57,392.32,393.12,143244444
1991-11-12,393.12,397.13,393.12,396.74,220677784
1991-11-13,396.74,397.42,394.01,397.41,204977778
1991-11-14,397.41,398.22,395.85,397.15,222255550
1991-11-15,397.15,397.16,382.62,382.62,266322228
1991-11-18,382.62,385.4,379.7,385.24,268822234
1991-11-19,385.24,385.24,374.9,379.42,270977778
1991-11-20,379.42,381.51,377.84,378.53,214177778
1991-11-21,378.53,381.12,377.41,380.06,216811117
1991-11-22,380.05,380.05,374.52,376.14,209155556
1991-11-25,376.14,377.07,374,375.34,195411105
1991-11-26,375.34,378.29,371.63,377.96,237566673
1991-11-27,377.96,378.11,375.98,376.55,186355556
1991-11-29,376.55,376.55,374.65,375.22,85366667
1991-12-02,375.11,381.4,371.36,381.4,209344450
1991-12-03,381.4,381.48,379.92,380.96,208033327
1991-12-04,380.96,381.51,378.07,380.07,208844444
1991-12-05,380.07,380.07,376.58,377.39,184833327
1991-12-06,377.39,382.39,375.41,379.1,221288889
1991-12-09,379.09,381.42,377.67,378.26,194177778
1991-12-10,378.26,379.57,376.64,377.9,214355556
1991-12-11,377.9,379.42,374.78,377.7,230477772
1991-12-12,377.7,381.62,377.7,381.55,214388883
1991-12-13,381.55,385.04,381.55,384.47,216077772
1991-12-16,384.48,385.84,384.37,384.46,192311111
1991-12-17,384.46,385.05,382.6,382.74,212566661
1991-12-18,382.74,383.51,380.88,383.48,213788895
1991-12-19,383.46,383.46,380.64,382.52,221477784
1991-12-20,382.52,388.24,382.52,387.04,351266655
1991-12-23,387.05,397.44,386.96,396.82,254333345
1991-12-24,396.82,401.79,396.82,399.33,180711111
1991-12-26,399.33,404.92,399.31,404.84,165811105
1991-12-27,404.84,406.58,404.59,406.46,175499994
1991-12-30,406.49,415.14,406.49,415.14,272888889
1991-12-31,415.14,418.32,412.73,417.09,274533333
1992-01-02,417.03,417.27,411.04,417.26,230633339
1992-01-03,417.27,419.79,416.16,419.34,249188883
1992-01-06,419.31,419.44,416.92,417.96,279122228
1992-01-07,417.96,417.96,415.2,417.4,280866655
1992-01-08,417.36,420.23,415.02,418.1,323055550
1992-01-09,418.09,420.5,415.85,417.61,324833327
1992-01-10,417.62,417.62,413.31,415.1,262366673
1992-01-13,415.05,415.36,413.54,414.34,222522216
1992-01-14,414.34,420.44,414.32,420.44,295444433
1992-01-15,420.45,421.18,418.79,420.77,349811105
1992-01-16,420.77,420.85,415.37,418.21,373600000
1992-01-17,418.2,419.45,416,418.86,319300006
1992-01-20,418.86,418.86,415.8,416.36,201000012
1992-01-21,416.36,416.39,411.32,412.64,243055550
1992-01-22,412.65,418.13,412.49,418.13,253488877
1992-01-23,418.13,419.78,414.36,414.96,260644456
1992-01-24,414.96,417.27,414.29,415.48,237366661
1992-01-27,415.44,416.84,414.48,414.99,212188895
1992-01-28,414.98,416.41,414.54,414.96,242666667
1992-01-29,414.96,417.83,409.17,410.34,276599988
1992-01-30,410.34,412.17,409.26,411.62,216311111
1992-01-31,411.65,412.63,408.64,408.78,219577790
1992-02-03,408.79,409.95,407.45,409.53,205877784
1992-02-04,409.6,413.85,409.28,413.85,259644444
1992-02-05,413.88,416.17,413.18,413.84,291600000
1992-02-06,413.87,414.55,411.93,413.82,268944450
1992-02-07,413.82,415.29,408.04,411.09,256800000
1992-02-10,411.07,413.77,411.07,413.77,204900006
1992-02-11,413.77,414.38,412.24,413.76,222366673
1992-02-12,413.77,418.08,413.36,417.13,264033327
1992-02-13,417.13,417.77,412.07,413.69,254844444
1992-02-14,413.69,413.84,411.2,412.48,239011105
1992-02-18,412.48,413.27,406.34,407.38,260333321
1992-02-19,407.38,408.7,406.54,408.26,258855561
1992-02-20,408.26,413.9,408.26,413.9,300722228
1992-02-21,413.9,414.26,409.72,411.43,290722228
1992-02-24,411.46,412.94,410.34,412.27,197266667
1992-02-25,412.27,412.27,408.02,410.45,233722216
1992-02-26,410.48,415.35,410.48,415.35,268333321
1992-02-27,415.35,415.99,413.47,413.86,239011105
1992-02-28,413.86,416.07,411.8,412.7,224800000
1992-03-02,412.68,413.74,411.52,412.45,200422210
1992-03-03,412.45,413.78,411.88,412.85,223211117
1992-03-04,412.86,413.27,409.33,409.33,229844433
1992-03-05,409.33,409.33,405.42,406.51,228633339
1992-03-06,406.51,407.51,403.65,404.44,205766661
1992-03-09,404.45,405.64,404.25,405.21,178500006
1992-03-10,405.21,409.16,405.21,406.89,225555556
1992-03-11,406.88,407.02,402.64,404.03,207033339
1992-03-12,404.03,404.72,401.94,403.89,200344439
1992-03-13,403.92,406.69,403.92,405.84,197666667
1992-03-16,405.85,406.4,403.55,406.39,173277772
1992-03-17,406.39,409.72,406.39,409.58,208055561
1992-03-18,409.58,410.84,408.23,409.15,213022222
1992-03-19,409.15,410.57,409.12,409.8,219233327
1992-03-20,409.8,411.3,408.53,411.3,273566673
1992-03-23,411.29,411.29,408.87,409.91,174500006
1992-03-24,409.91,411.43,407.99,408.88,212900006
1992-03-25,408.88,409.87,407.52,407.52,214055561
1992-03-26,407.52,409.44,406.75,407.86,196355556
1992-03-27,407.86,407.86,402.87,403.5,184600000
1992-03-30,403.5,404.3,402.97,403,148877772
1992-03-31,403,405.21,402.22,403.69,202622222
1992-04-01,403.67,404.5,400.75,404.23,207255561
1992-04-02,404.17,404.63,399.28,400.5,205788895
1992-04-03,400.5,401.59,398.21,401.55,209533345
1992-04-06,401.54,405.93,401.52,405.59,199899994
1992-04-07,405.59,405.75,397.97,398.06,228011117
1992-04-08,398.05,398.05,392.41,394.5,276977778
